trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
145,False,"{'a': 0.5, 'e': 0.9582438755126972}",35,0,-107.35436730249447,"{0: 26, 1: 4, 2: 2, 3: 1, 4: 2}",0
146,False,"{'a': 0.5, 'e': 0.9576700549566448}",20,0,-100.75323067847515,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
147,False,"{'a': 0.5, 'e': 0.9570924037216496}",25,12,-1.433231948892205,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.9565109241183156}",20,5,-25.066447872202524,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.9559256184725605}",20,0,-2.7650493913533603,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.955336489125606}",20,0,-136.99587567200513,"{0: 7, 1: 5, 2: 6, 3: 1, 4: 1}",0
151,False,"{'a': 0.5, 'e': 0.9547435384339689}",25,0,-26.265453958480393,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.9541467687694509}",20,0,-87.2402030669118,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
153,False,"{'a': 0.5, 'e': 0.9535461825191301}",20,0,-107.96776003961789,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
154,False,"{'a': 0.5, 'e': 0.9529417820853506}",20,0,-46.57525537818941,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.9523335698857134}",20,0,-55.904041887993564,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.9517215483530664}",25,3,-112.5981843702746,"{0: 11, 1: 5, 2: 4, 3: 1, 4: 1}",1
157,False,"{'a': 0.5, 'e': 0.951105719935495}",20,0,-154.36800450724124,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
158,False,"{'a': 0.5, 'e': 0.9504860870963119}",25,0,-169.2403552312715,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
159,False,"{'a': 0.5, 'e': 0.9498626523140478}",20,0,-126.16698605486602,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
160,False,"{'a': 0.5, 'e': 0.9492354180824408}",20,12,-7.514928140603445,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.9486043869104273}",20,0,-96.3049149794925,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
162,False,"{'a': 0.5, 'e': 0.9479695613221308}",20,0,-100.73055759737161,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
163,False,"{'a': 0.5, 'e': 0.9473309438568531}",30,7,-129.75983989589164,"{0: 14, 1: 0, 2: 5, 3: 3, 4: 1}",1
164,False,"{'a': 0.5, 'e': 0.9466885370690631}",35,7,-188.89046572772693,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 4}",1
165,False,"{'a': 0.5, 'e': 0.946042343528387}",20,0,-43.198803993635764,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
166,False,"{'a': 0.5, 'e': 0.9453923658195982}",30,3,-72.6550604205749,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 1}",1
167,False,"{'a': 0.5, 'e': 0.9447386065426066}",25,0,-150.04750803396863,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
168,False,"{'a': 0.5, 'e': 0.9440810683124485}",30,0,-137.8446443269044,"{0: 17, 1: 2, 2: 9, 3: 1, 4: 1}",0
169,False,"{'a': 0.5, 'e': 0.9434197537592759}",25,0,-96.38577775418364,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
170,False,"{'a': 0.5, 'e': 0.9427546655283462}",25,1,-103.38681022564542,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 1}",1
171,False,"{'a': 0.5, 'e': 0.9420858062800114}",30,0,-65.88368793530321,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
172,False,"{'a': 0.5, 'e': 0.9414131786897075}",20,0,-18.207169793155995,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
173,False,"{'a': 0.5, 'e': 0.9407367854479443}",25,0,-30.382182581587458,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
174,False,"{'a': 0.5, 'e': 0.9400566292602934}",25,0,-44.21444025272132,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
175,False,"{'a': 0.5, 'e': 0.9393727128473789}",25,0,-56.54223242969216,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
176,False,"{'a': 0.5, 'e': 0.9386850389448655}",35,0,-209.66476731130405,"{0: 23, 1: 0, 2: 8, 3: 0, 4: 4}",0
177,False,"{'a': 0.5, 'e': 0.937993610303448}",25,0,-115.1838527072801,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
178,False,"{'a': 0.5, 'e': 0.9372984296888399}",20,0,-64.62586225071982,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
179,False,"{'a': 0.5, 'e': 0.9365994998817627}",25,0,-166.33218751327465,"{0: 14, 1: 0, 2: 8, 3: 1, 4: 2}",0
180,False,"{'a': 0.5, 'e': 0.9358968236779348}",20,0,-75.42156535804484,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
181,False,"{'a': 0.5, 'e': 0.9351904038880602}",25,13,-77.84957475413418,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 1}",1
